[2021-03-28 17:42:05.328] [basic_logger] [info] Device Extension: VK_EXT_external_memory_host (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.1
[2021-03-28 17:42:05.329] [basic_logger] [info] Device Extension: VK_EXT_fragment_shader_interlock (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.1
[2021-03-28 17:42:05.330] [basic_logger] [info] Device Extension: VK_EXT_full_screen_exclusive (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.4
[2021-03-28 17:42:05.330] [basic_logger] [info] Device Extension: VK_EXT_hdr_metadata (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.2
[2021-03-28 17:42:05.331] [basic_logger] [info] Device Extension: VK_EXT_host_query_reset (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.1
[2021-03-28 17:42:05.331] [basic_logger] [info] Device Extension: VK_EXT_index_type_uint8 (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.1
[2021-03-28 17:42:05.332] [basic_logger] [info] Device Extension: VK_EXT_inline_uniform_block (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.1
[2021-03-28 17:42:05.332] [basic_logger] [info] Device Extension: VK_EXT_line_rasterization (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.1
[2021-03-28 17:42:05.333] [basic_logger] [info] Device Extension: VK_EXT_memory_budget (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.1
[2021-03-28 17:42:05.335] [basic_logger] [info] Device Extension: VK_EXT_memory_priority (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.1
[2021-03-28 17:42:05.336] [basic_logger] [info] Device Extension: VK_EXT_pci_bus_info (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.2
[2021-03-28 17:42:05.338] [basic_logger] [info] Device Extension: VK_EXT_pipeline_creation_cache_control (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.3
[2021-03-28 17:42:05.339] [basic_logger] [info] Device Extension: VK_EXT_pipeline_creation_feedback (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.1
[2021-03-28 17:42:05.341] [basic_logger] [info] Device Extension: VK_EXT_post_depth_coverage (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.1
[2021-03-28 17:42:05.343] [basic_logger] [info] Device Extension: VK_EXT_private_data (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.1
[2021-03-28 17:42:05.344] [basic_logger] [info] Device Extension: VK_EXT_robustness2 (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.1
[2021-03-28 17:42:05.344] [basic_logger] [info] Device Extension: VK_EXT_sample_locations (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.1
[2021-03-28 17:42:05.346] [basic_logger] [info] Device Extension: VK_EXT_sampler_filter_minmax (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.2
[2021-03-28 17:42:05.346] [basic_logger] [info] Device Extension: VK_EXT_scalar_block_layout (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.1
[2021-03-28 17:42:05.347] [basic_logger] [info] Device Extension: VK_EXT_separate_stencil_usage (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.1
[2021-03-28 17:42:05.347] [basic_logger] [info] Device Extension: VK_EXT_shader_demote_to_helper_invocation (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.1
[2021-03-28 17:42:05.348] [basic_logger] [info] Device Extension: VK_EXT_shader_subgroup_ballot (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.1
[2021-03-28 17:42:05.348] [basic_logger] [info] Device Extension: VK_EXT_shader_subgroup_vote (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.1
[2021-03-28 17:42:05.349] [basic_logger] [info] Device Extension: VK_EXT_shader_viewport_index_layer (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.1
[2021-03-28 17:42:05.349] [basic_logger] [info] Device Extension: VK_EXT_subgroup_size_control (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.2
[2021-03-28 17:42:05.350] [basic_logger] [info] Device Extension: VK_EXT_texel_buffer_alignment (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.1
[2021-03-28 17:42:05.353] [basic_logger] [info] Device Extension: VK_EXT_tooling_info (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.1
[2021-03-28 17:42:05.354] [basic_logger] [info] Device Extension: VK_EXT_transform_feedback (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.1
[2021-03-28 17:42:05.354] [basic_logger] [info] Device Extension: VK_EXT_vertex_attribute_divisor (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.3
[2021-03-28 17:42:05.357] [basic_logger] [info] Device Extension: VK_EXT_ycbcr_image_arrays (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.1
[2021-03-28 17:42:05.357] [basic_logger] [info] Device Extension: VK_NV_clip_space_w_scaling (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.1
[2021-03-28 17:42:05.358] [basic_logger] [info] Device Extension: VK_NV_compute_shader_derivatives (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.1
[2021-03-28 17:42:05.358] [basic_logger] [info] Device Extension: VK_NV_corner_sampled_image (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.2
