[2021-03-28 22:14:57.084] [file] [info] Device Extension: VK_EXT_blend_operation_advanced (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.2
[2021-03-28 22:14:57.084] [file] [info] Device Extension: VK_EXT_buffer_device_address (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.2
[2021-03-28 22:14:57.085] [file] [info] Device Extension: VK_EXT_calibrated_timestamps (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.1
[2021-03-28 22:14:57.085] [file] [info] Device Extension: VK_EXT_conditional_rendering (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.2
[2021-03-28 22:14:57.086] [file] [info] Device Extension: VK_EXT_conservative_rasterization (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.1
[2021-03-28 22:14:57.088] [file] [info] Device Extension: VK_EXT_custom_border_color (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.12
[2021-03-28 22:14:57.089] [file] [info] Device Extension: VK_EXT_depth_clip_enable (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.1
[2021-03-28 22:14:57.089] [file] [info] Device Extension: VK_EXT_depth_range_unrestricted (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.1
[2021-03-28 22:14:57.090] [file] [info] Device Extension: VK_EXT_descriptor_indexing (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.2
[2021-03-28 22:14:57.090] [file] [info] Device Extension: VK_EXT_discard_rectangles (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.1
[2021-03-28 22:14:57.091] [file] [info] Device Extension: VK_EXT_external_memory_host (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.1
[2021-03-28 22:14:57.092] [file] [info] Device Extension: VK_EXT_fragment_shader_interlock (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.1
[2021-03-28 22:14:57.093] [file] [info] Device Extension: VK_EXT_full_screen_exclusive (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.4
[2021-03-28 22:14:57.093] [file] [info] Device Extension: VK_EXT_hdr_metadata (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.2
[2021-03-28 22:14:57.094] [file] [info] Device Extension: VK_EXT_host_query_reset (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.1
